line_id,Unique ID,Project Name,Portfolios,Purpose,Priority Areas,Funder/Source,Funding Instrument,Disbursement Channel,Co-Financing: Name,Currency: Pledged,Amount: Pledged,Total US$,Total ZAR,Funding Partners,Implementing Entity,Institutional / South African Partner,Beneficiary,Status,Project Description,Date of Financing Agreement Signed*,End Date
zaf-jet-investment-register-q1-2026-overall-data-138,SW003,Municipal Climate Resilience Programme,Municipalities,Technical Assistance,Public financial management,SECO,Grants,Service Provider,National Treasury,CHF,7010000,7781100.000000001,137725470,Switzerland,"SECO, National Treasury; Municipalities in Free State & Mpumalanga",National Treasury,"Provincial Treasuries, municipalities in Free State & Mpumalanga",C. Implementation Phase,"PINK (Procurement, Infrastructure Development & Knowledge Management): Technical assistance to selected municipalities on procurement and SCM, infrastructure planning (with the implementation of the Infrastructure Delivery Management System (IDMS) & knowledge management (e.g. communities of practice)",2021-11-01T00:00:00,2024-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-139,SW004,Skills Capacity Development Initiative,Skills,Capacity development / training,Skills development for a green economy,SECO,Grants,GIZ,"GIZ, EU",CHF,4950000,5494500.000000001,97252650.00000001,Switzerland,"DHET, GIZ",Department of Higher Education & Training,TVET colleges,C. Implementation Phase,"Career Path Development for Employment (CPD4E) - SECO: Applying a more integrated employment promotion approach, i.e. shift from the exclusive focus on improving the quality of TVETs and will focus on employment promotion.",2022-06-01T00:00:00,2025-05-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-140,SW005,Municipal Climate Resilience Programme,Electricity,Technical Assistance,Municipal energy management systems,SECO,Grants,GIZ,GIZ,CHF,1000000,1110000,19647000,Switzerland,"SECO, GIZ; SALGA, SEA",Department of Electricity & Energy,Participating municipalities,C. Implementation Phase,South African German Energy Programme 4 - support to selected municipalities in the development of energy management systems and retrofitting of street lighting with energy efficient technology.,2022-01-01T00:00:00,2025-09-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-141,SW006,Municipalities Infrastructure Development,Municipalities,Infrastructure,Cities Support Programme,SECO,Grants,World Bank,"World Bank, National Treasury",CHF,8105000,8996550,159238935,Switzerland,"SECO, World Bank; National Treasury, metros",National Treasury,Metropolitan municipalities,C. Implementation Phase,"Just Urban Transition and Resilience focus for Cities Support Programme: Support to South Africa's eight metros in financial and fiscal governance, climate resilient infrastructure and water resilience, and economic development. Plans are underway for a stronger focus on JUT from 2025 onwards.",2021-11-01T00:00:00,2025-09-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-142,SW007,Electricity Energy Storage Project,Electricity,Technical Assistance,Eco-Industrial Parks Programme,SECO,Grants,UNIDO,UNIDO,CHF,1000000,1110000,19647000,Switzerland,"SECO, UNIDO; the dtic, NCPC-SA","Department of Trade, Industry & Competition",Selected industrial parks,C. Implementation Phase,Resource efficiency in industrial parks: Support for resource efficiency in selected industrial parks with potential spin-off projects in renewal energy and energy storage. The programme entered Phase II in 2024.,2021-11-01T00:00:00,2028-12-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-143,SW008,Electricity Technical Assistance Programme,Electricity,Technical Assistance,Multi-Country Investment Climate Programme,SECO,Grants,IFC,IFC,CHF,3300000,3663000.0000000005,64835100.00000001,Switzerland,"SECO, IFC; InvestSA, the dtic, selected metros & investment agencies","Department of Trade, Industry & Competition",InvestSA,C. Implementation Phase,"Phase II to look into supporting IPP funding mechanisms: MCICP aims to foster reliable economic framework conditions for robust private sector growth, to design and implement systemic investment climate reforms, and to foster inclusive and sustainable job creation. Under Phase II, support is provided to the enabling environment for doing business (e.g. a one stop shop for IPP investments)",2021-11-01T00:00:00,2026-12-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-144,SW009,Municipalities Infrastructure Development,Municipalities,Infrastructure,Sustainable Cities,SECO,Grants,IFC,"Cities, private sector",CHF,6499999.999999999,7215000,127705500,Switzerland,"SECO, IFC; Metropolitan municipalities, secondary cities",Beneficiary municipalities,Municipalities,C. Implementation Phase,"Sustainable Cities - Africa Platform: Support to participating metros in the development and implementation of climate action plans, energy efficient and resilient infrastructure, for phase II also for secondary cities",2021-11-01T00:00:00,2026-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-145,UK001,Electricity Technical Assistance Programme,Electricity,Technical Assistance,Coal plant decommissioning,,Grants,,,USD,5500000,5500000,97350000,United Kingdom,World Bank,Presidential Climate Commission (PCC),"Eskom, DMRP, PCC",C. Implementation Phase,"ESMAP (Energy Sector Management Assistance Program): Energy Sector Management Assistance Programme (ESMAP) to support the decommissioning of coal-fired power plants in SA. This project supports the Government of South Africa and Eskom to scope the technical, economic, environmental, and social practicalities of closing and/or repurposing coal-fired power plants. The objective is to strengthen the environmental and social technical readiness of decommissioning coal-fired power stations in South Africa.",2021-11-01T00:00:00,2026-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-146,UK002,Electricity Technical Assistance Programme,Electricity,Technical Assistance,Coal plant decommissioning,,Grants,,,USD,1380000,1065000,18850500,United Kingdom,World Bank,Presidential Climate Commission (PCC),"Eskom, DMRP, PCC",C. Implementation Phase,South Africa Programmatic Advisory Services and Analytics (supported through ESMAP): The second ESMAP programme establishes the provision of Advisory Services and Analytics (including and advisory board) activities for South Africa.,2022-01-01T00:00:00,2026-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-147,UK003,Electricity Grid Infrastructure Programme,Electricity,Technical Assistance,Distribution,,Grants,,,GBP,94167,117708.75,2072851.0875,United Kingdom,Ricardo and ECO,City of Cape Town,,D. Completed,"City of Cape Town Grid Regulation Skill-share (UK PACT): Skill-share TA to support the City of Cape Town with the integration of small scale embedded generation onto their grids including support for design standard of networks, embedded generation impact studies, and assistance on financing mechanisms and funding models.",2022-01-01T00:00:00,2023-11-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-148,UK005,Municipal Climate Resilience Programme,Electricity,Capacity development / training,Building capacity for success,,Grants,,,GBP,132383.56,165479.45,2914093.1145,United Kingdom,CamNexus and Green Crowd,"Department of Trade, Industry and Competition (DTIC)",,D. Completed,Energy One Stop Shop Skill-share (UK PACT): This skill-share supported the development of an efficient streamlined system through process mapping of regulation approval requirements for new energy generation projects. This will accelerate the approval/certification process of more renewable energy projects adding capacity to the grid. The focus was on municipal approval processes.,2023-01-01T00:00:00,2023-11-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-149,UK006,Mpumalanga Just Transition Programme: Sector Job Resilience Pathways,JT-Mpumalanga,Studies/research,Diversifying local economies,,Grants,,,GBP,346136,432670,7619318.7,United Kingdom,Council for Scientific and Industrial Research (CSIR),"Department of Forestry, Fisheries and the Environment (DFFE), Mpumalanga Provincial Government",,D. Completed,"Mapping Mitigation and Adaptation Pathways for a JET - Support for Sector Job Resilience Planning (UK PACT): The National Employment Vulnerability Assessment (NEVA) conducted by the DFFE and DTIC, identified a number of sectors/value chains as being vulnerable to climate change or that will be impacted by the just transition. In each of these sectors the NEVA identified a number of initiatives (particularly within the coal value-chain) with real job creation potential that need capacity and technical support to build into bankable opportunities. This project developed implementable business cases for a number of these initiatives. The respective business cases are for pilots in Mpumalanga including: Just Transition social protection; coal waste beneficiation; biomass from invasive plant species feasibility; and warning systems and tools to ensure energy and food security.",2021-11-01T00:00:00,2023-03-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-150,UK007,Mpumalanga Just Transition Programme: Private Sector Transition Pathways,JT-Mpumalanga,Studies/research,Diversifying local economies,,Grants,,,GBP,516249,645311.25,11363931.112499999,United Kingdom,National Business Initiative (NBI),"Department of Forestry, Fisheries and the Enviornment (DFFE)","NBI Private Sector Membership, Business Unity South Africa (BUSA),",D. Completed,"Just Transition Pathways Project (UK PACT): The project identified pathways for the private sector to contribute to both an accelerated low carbon transition and just transition. It provided detailed key sectoral modelling and analysis of the technical and socio-economic benefits of rapid low carbon expansion and the impact on macroeconomic factors such as economic growth, employment etc.",2021-11-01T00:00:00,2023-03-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-151,UK008,Climate Finance Accelerator,JT-Mpumalanga,Capacity development / training,Diversifying local economies,,Grants,,,GBP,1388519,1749533.94,30966750.737999998,United Kingdom,"PwC, GreenCape, National Business Initiative",Low carbon businesses,Low carbon businesses,C. Implementation Phase,"The UK funded Climate Finance Accelerator (CFA): Gives capacity building support to low carbon businesses and projects in agriculture, forestry, energy, transport, circular economy and water sectors; putting them in the best position to attract investment from financiers. Everlectric, Hohm Energy and Wetility are three of the successful projects from South Africa following the first phase of CFA.",2021-11-01T00:00:00,2030-08-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-152,UK009,JT-Mpumalanga Research: Green Economy Cluster and SAREM Support,JT-Mpumalanga,Community organisational development,Policies for post-mining redevelopment,,Grants,,,GBP,1310078,1650698.28,29118317.6592,United Kingdom,GreenCape,,,D. Completed,"Development of a Green Economy Cluster Organisation to Support Mpumalanga's Role in the Validation, Implementation and Follow-on Research of the South African Renewable Energy Masterplan (SAREM) (UK PACT): This project builds more substantively on ongoing work related to the development of the South African Renewable Energy Masterplan (SAREM). It draws on the success that GreenCape has achieved as the Western Cape's green economy cluster organisation by helping to establish a similar green economy cluster organisation in Mpumalanga. The green economy cluster organisation (launched in 2022 - Mpumalanga Green Cluster Agency) will work on practical opportunities to support the research behind the SAREM, making a significant contribution to creating green economy jobs and investment opportunities as part of the implementation of SAREM.",2021-02-01T00:00:00,2025-03-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-153,UK011,Municipal Climate Resilience Programme: Coal Municipality Diversification Opportunities,JT-Mpumalanga,Technical Assistance,Diversifying local economies,,Grants,,,GBP,253622,317027.5,5582854.274999999,United Kingdom,"Trade & Industrial Policy Strategies (TIPS) (Lead), National Labour and Economic Development Institute (NALEDI), Peta Wolpe, GroundWork",eMalahleni and Steve Tshwete Local Municipalities,Civil society and trade unions,D. Completed,"Distilling the Just Energy Transition in South Africa: Harmonising Conflict and Seeking Opportunities (UK PACT): The project focused on the two most coal-dependant municipalities in Mpumalanga (eMalahleni and Steve Tshwete) to identify economic diversification activities that the municipalities can develop, in conjunction with the local communities to promote job creation within the local economies.",2021-02-01T00:00:00,2022-11-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-154,UK012,Electricity Capacity Development Initiative,Electricity,Capacity development / training,Capacity building for renewable and greentech SMMEs,,Grants,,,GBP,265000,331250,5833312.5,United Kingdom,Trade Forward Southern Africa and partners,,,D. Completed,"Trade Forward Southern Africa (TFSA): Information, capacity building and support to South African renewable energy and greentech products to promote their products, and access new markets through addressing no-tarriff barriers to trade and supporting market linkages. Overarching work seeks to promote SOuthern african renewable and greentech companies and industry as growing and attaractive sector for investment.",2022-01-01T00:00:00,2024-02-29T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-155,UK013,Electricity Capacity Development Initiative,Electricity,Capacity development / training,Diversifying local economies,,Grants,,,GBP,18027,22533.75,396819.33749999997,United Kingdom,ICLEI AFrica,Northern Cape Provincial Government,,D. Completed,"Northern Cape Sustainable Energy Sector Support (Northern Cape SESS) (UK PACT): The Sustainable Energy Sector Support (SESS) project built a foundation for a sustainable energy transition within the Northern Cape and more broadly the green economy sector, for Small, Medium and Micro Enterprises to thrive. The SESS project worked with the Northern Cape Provincial Government to create an enabling environment for the creation of a small-scale sustainable energy industry via enhanced stakeholder networks, co-development and deployment of relevant knowledge products and training for the local sustainable energy sector to develop.",2023-02-01T00:00:00,2023-10-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-156,UK014,Municipal Climate Resilience Programme,Municipalities,Studies/research,Operational: Energy access design,,Grants,,,GBP,123104,153880,2709826.8,United Kingdom,ICLEI Africa,"King Sabata Dalindyebo, Matzikama, Ray Nkonyeni and Walter Sisuslu Local Municipalities, Development Bank of Southern Africa (DBSA)",South African municpalities,D. Completed,Alternative Financing Models for Embedded Generation of Renewable Energy in South African Municipalities (UK PACT): The project developed alternative finance models for embedded generation projects within secondary municipalities and built capacity within these municipalities to enable pre-feasibility studies for embedded generation projects that could ultimately be developed through the technical and financial support of the DBSA and Green Climate Fund's ~R4bn Embedded Generation Investment Programme (EGIP).,2021-11-01T00:00:00,2022-05-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-157,UK015,Green Hydrogen Development Programme,Municipalities,Studies/research,Capability and capacity,,Grants,,,GBP,150227,187783.75,3306871.8375,United Kingdom,Arup South Africa,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality,D. Completed,"eThekwini Regional Hydrogen Economy Study (UK PACT): This project assessed the feasibility and pathway for establishing a hydrogen economy in eThekwini Metropolitan Municipality. The completed study, launched by the Mayor of eThekwini in March 2023, included a combination of literature reviews, trend analysis and engagements with various eThekwini Municipality departments and stakeholders. It focussed on the production of hydrogen, distribution and storage, and consumption in the transport sector and large energy and power industries. The study explored the potential role of hydrogen in storing intermittent renewable energy thereby accelerating its deployment.",2021-11-01T00:00:00,2022-08-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-158,UK016,Municipalities Technical Assistance Programme,Municipalities,Technical Assistance,Capability and capacity,,Grants,,,GBP,302849,378561.25,6700534.125,United Kingdom,Sustainable Energy Africa (SEA),City of Johannesburg,City of Johannesburg,D. Completed,"City of Johannesburg Climate Action Plan Implementation Tracking (UK PACT): This project supported the City of Johannesburg to establish the necessary data tools to bring civil society, business and other organisations into the process of monitoring the implementation of the City's Climate Action Plan (CAP). The project also explored new tools to reduce emissions through embedded generation support, net-zero building and land mapping for climate adaptation.",2022-11-01T00:00:00,2025-03-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-159,UK017,Municipalities Infrastructure Development,Municipalities,Technical Assistance,Collective planning,,Grants,,,GBP,5130000,6463800,114409260,United Kingdom,C40 Cities,"City of Johannesburg ,Tshwane, Cape Town, Mbombela and Drakenstein","City of Johannesburg ,Tshwane, Cape Town, Mbombela and Drakenstein",D. Completed,Urban Climate Action Programme (UCAP): Supporting key cities to implement and embed their net-zero climate action plans through their membership to the C40 Cities network. The Cities Finance Facility (CFF) is a multi-donor project preparation facility for low-carbon infrastructure which includes Cape Town and Drakenstein.,2022-11-01T00:00:00,2025-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-160,UK018,Municipalities Infrastructure Development,Municipalities,Technical Assistance,Collective planning,,Grants,,,GBP,411630,514537.5,9061005.375,United Kingdom,GreenCape,City of Cape Town,City of Cape Town,D. Completed,"Supporting the Effective Integration of Resilience Building, Alternative Service Delivery Approaches and Climate Change Adaptation and Mitigation into the Implementation of the City of Cape Town's Infrastructure Planning and Delivery Framework (IPDF) (UK PACT): This project assisted with the evaluation of the City's Infrastructure portfolio in order to understand the opportunities for City infrastructure planning and investment to respond to the environmental, social and economic risks associated with climate change.",2022-01-01T00:00:00,2023-06-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-161,UK019,NEVs Technical Assistance Programme,NEVs,Technical Assistance,Capability and capacity,,Grants,,,GBP,302042,377552.5,6648699.524999999,United Kingdom,Nelson Mandela University and Cenex,"Department of Transport (DoT), Department of Forestry, Fisheries and the Environment (DFFE) and Western Cape Provincial Government (year 1) Tshwane, eThekwini and Nelson Mandela Bay Municipalities (year 2)",,D. Completed,"Shifting the Transport Paradigm ""“ Electric Vehicles (UK PACT): The project built capacity, knowledge and information sharing at a national and local government level to promote electric vehicles (EVs) in line with the Department of Transport's (DoT) Green Transport Strategy and promoted the uptake of and the development of the EV industry in South Africa.",2021-11-01T00:00:00,2023-03-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-162,UK020,NEVs Technical Assistance Programme,NEVs,Technical Assistance,Capability and capacity,,Grants,,,GBP,148173,185216.25,3261658.1625,United Kingdom,Sustainable Energy Africa (SEA),City of Johannesburg,,D. Completed,"Electric Vehicle Readiness in City of Johannesburg (UK PACT): The project built the capacity of City of Johannesburg officials to make them EV ready, by building a deep understanding of the technical abilities of the city to plan for an EV future in terms of the provision of infrastructure and the setting of fair, yet attractive tariffs.",2021-11-01T00:00:00,2022-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-163,UK021,Green Hydrogen Development Programme,Green hydrogen,Technical Assistance,GH and Green Ammonia,,Grants,,,GBP,1617324.7830763136,2021655.978845392,35601361.78746735,United Kingdom,"InnovateUK, Worldbank IFC",,,D. Completed,Clean Energy Innovation Facility (CEIF 1.0) Phase 1 - CEIF supported the decarbonisation of South Africa's industrial sector through funding piloting and demonstration projects which create a sustainable sift in the local Energy market i.e. piloting green ammonia production using green hydrogen.,2021-11-01T00:00:00,2023-03-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-164,UK022,Green Hydrogen Development Programme,Skills,Capacity development / training,Skills hub for JET,,Grants,,,GBP,246189,307736.25,5419235.3625,United Kingdom,"South African Institute of International Affairs (SAIIA), Trade and Industrial Policy Strategies (TIPS), University of Cape Town (UCT) Energy Research Centre, KPMG, Bambili Energy","Department of Science and Innovation (DSI); Department of Higher Education and Training (DHET), Energy and Water SETA (EW SETA)",,D. Completed,"Building the Green Hydrogen Economy Just Energy Transition (UK PACT): Co-creating a Just Labour Transition through the Technical and Vocational Education and Training (TVET) College System in South Africa. The project fed into a specific component of the Hydrogen Society Roadmap which involves assessing the skills needed for transitioning to a green hydrogen economy in South Africa, with a particular focus on how to position the TVET college system to supply high-quality skills to meet the future GHE requirements.",2021-11-01T00:00:00,2022-04-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-165,UK023,Skills Research Programme,Skills,Studies/research,Mobilise PSET funding for JET,,Grants,,,GBP,238906,298632.5,5258918.325,United Kingdom,NAACAM and Elangeni TVET College,,,D. Completed,High Gear: Development of an NEV study to identify priority EV competencies necessary to support the growth and functioning of EV manufacturing and servicing sectors to enable more TVET graduates to enter the emerging industry,2022-11-01T00:00:00,2023-06-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-166,UK024,Skills Development Programme,Skills,Capacity development / training,Mobilise PSET funding for JET,,Grants,,,GBP,76615,95768.75,1686487.6875,United Kingdom,"IOPSA,Blu Lever, NBI",,,D. Completed,Green Skills in IRM: 100 beneficiaries (IOPSA plumbing training graduates) provided with green skills training (solar geyser installations and for improved employment and earning prospects. 100 beneficiaries (IOPSA graduates) provided with green skills training (solar pump installations and for improved employment and earning prospects.,2022-11-01T00:00:00,2023-06-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-167,UK025,Electricity Research Programme,Electricity,Studies/research,Energy Sector Decarbonisation Pathways,,Grants,,,GBP,199211,249013.75,4385132.1375,United Kingdom,Council for Scientific and Industrial Research (CSIR) and University of Cape Town (UCT),Presidential Climate Commission (PCC),,D. Completed,"Energy Sector Decarbonisation Pathways to Meet a Net-Zero Emissions Target by 2050 (UK PACT): This project set out the key business as usual and decarbonisation scenarios for the energy sector focusing on electricity, petroleum and transport sectors to meet the net zero emissions target by 2050 consistent with the Paris Agreement. It also undertook modelling analysis to examine the overall environmental, economic and social impacts of the different pathways.",2022-10-01T00:00:00,2024-03-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-168,UK026,PCC Energy Modelling Support,Skills,Technical Assistance,UK PACT Secondment,,Grants,,,ZAR,522520,30646.354607700545,522520,United Kingdom,UK PACT secondee recruited,Presidential Climate Commission (PCC),,D. Completed,UK PACT Secondment - Part 1 (2021/2022) - The job holder was seconded to the Secretariat of the Presidential Climate Commission (PCC): The secondee faciliated peer-to-peer exchange with the UK's Climate Change Committee and supported the the convening of stakeholder meetings in the lead up to the development of the Commission's Just Transition Framework.,2021-11-01T00:00:00,2022-01-21T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-169,UK027,Skills Research Programme,Skills,Capacity development / training,Energy Secretariat - UK PACT Skill-share,,Grants,,,GBP,39185,48981.25,862559.8125,United Kingdom,Ricardo,"Department of Science and Innovation (DSI), South African National Energy Development Institute (SANEDI)",,D. Completed,"Energy Secretariat Skill-share (UK PACT):The skill-share provided Monitoring, Evaluation and Learning (MEL) support to DSI and SANEDI to develop a Theory of Change and a MEL framework for the Energy Secretariat at an organisation-level and for the draft Energy, Science, Technology and Innovation Plan (ESTIP).",2021-11-01T00:00:00,2023-09-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-170,UK028,Skills Infrastructure Development,Skills,Infrastructure,Operationalising Energy Performance Certificates,,Grants,,,GBP,184498,230622.5,4061262.225,United Kingdom,Carbon Trust and Green Building Council of South Africa,"Department of Science and Innovation (DSI), South African National Energy Development Institute (SANEDI)",,D. Completed,Operationalising Energy Performance Certificates (UK PACT): The project supported the South African National Energy and Development Institute (SANEDI) in its role in facilitating the operationalisation of EPC data and the implementation of the Mandatory EPC for Buildings Regulation.,2021-11-01T00:00:00,2023-03-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-171,UK029,PCC Energy Modelling Support,Skills,Studies/research,Climate Compatible Growth Facility,,Grants,,,GBP,70000,87500,1540875,United Kingdom,Loughborough University and UCT,,,D. Completed,"Support to PCC on key projects for JETP including UK-SA institutions (UCT with Imperial, Oxford, Cambridge, Loughborough)",2023-01-01T00:00:00,2023-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-172,UK030,Skills Development Programme,Skills,Technical Assistance,"UK-IFC Market Accelerator for Green Construction (MAGC) Programme ""“ Advisory Services (Technical Assistance)",,Grants,,,GBP,951443.548,1198818.87048,21219094.007496,United Kingdom,IFC,,,C. Implementation Phase,"The Market Accelerator for Green Construction Program (MAGC) is a blended concessional finance program that works to accelerate the construction of certified green buildings. The UK's contribution for this tranch is Â£951444. This tranch is for advisory services: 1. providing technical assistance including building the knowledge and skills base of the industries and governments in the supported countries, 2. improvement and enhancement of IFC's EDGE building standards, 3. Research, building evidence by quantifying the financial and emissions case for this demonstration portfolio of buildings to drive wider uptake.",2021-11-01T00:00:00,2026-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-173,UK031,Skills Capacity Development Initiative,Skills,Capacity development / training,Emissions and energy data modelling improvements - support to UCT,,Grants,,,GBP,585121,731401.25,12945802.125,United Kingdom,"University of Loughborough, University of Cape Town, Imperial University and University of Central London",UCT,,D. Completed,"Support to UCT: Improving the quality and usability modelling data for energy planning and emissions, including staff to answer queries and potential training of relevant public bodies on emissions modelling",2023-08-01T00:00:00,2025-03-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-174,UK033,Municipal Climate Resilience Programme: Municipal Project Pipeline Development,JT-Mpumalanga,Community organisational development,Diversifying local economies,,Grants,,,GBP,98795.5,123494.375,2163621.4499999997,United Kingdom,PwC,,,D. Completed,"Project pipeline development: Identification, verification and vetting of municipal projects to enable development partners to deploy JETP funding. Creation of cost benefit templates for water and energy projects.",2023-09-01T00:00:00,2024-04-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-175,UK034,Municipal Climate Resilience Programme,Municipalities,Capacity development / training,Independent power producer procurement,,Grants,,,GBP,451633,564541.25,9998025.5375,United Kingdom,"University of Pretoria, Pinsent Masons Africa, Kim Adonis Consulting, Cornerstone Infrastructure Advisers, Enterprises University of Pretoria",South African Local Government Association (SALGA),Municipalities,D. Completed,"Enabling municipal energy generation and procurement (UK PACT): The project equipped municipalities with reference guides, procurement materials and a comprehensive training programme to enable them to implement Â their own independent power producer procurement programme.",2024-03-01T00:00:00,2025-06-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-176,UK035,PCC Energy Modelling Support,Municipalities,Studies/research,Municipal revenue modelling,,Grants,,,GBP,468917,590835.42,10457786.934,United Kingdom,Sustainable Energy Africa (SEA),Presidential Climate Commission (PCC); South African Local Government Association (SALGA),,D. Completed,Policy research and support for energy pricing reform and municipal energy procurement (UK PACT): Support the Presidential Climate Commission (PCC) with policy research and support for energy pricing reform and municipal energy procurement; support SALGA with a study of and legal support regarding alternative ownership models,2024-02-01T00:00:00,2025-09-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-177,UK037,Green Hydrogen Development Programme,Green hydrogen,Studies/research,Infrastructure,,Grants,,,GBP,996544,1255645.44,22224924.288,United Kingdom,"Ikigai Capital (UK); DNV (UK); Thames Estuary Growth Board (UK); University of Kent Public University; University College London (UK); National Gas Transmission (UK), PLC",Industrial Development Corporation (IDC),"Department of Mineral Resources and Energy (DMRE),National Treasury, Department of Transport (National and Provincial Government), Department of Trade Industry and Competition",D. Completed,Eastern Cape Green Hydrogen Production and Export Infrastructure Feasibility Study (UK PACT): This feasibility study centres on the creation of infrastructure for the production and export of green hydrogen from South Africa's Eastern Cape region to the United Kingdom and other markets.,2024-02-01T00:00:00,2025-12-12T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-178,UK039,Green Hydrogen Technical Assistance Programme,Green hydrogen,Technical Assistance,Energy Secretariat - UK PACT Skill-share Part 2,,Grants,,,GBP,55070.05,68837.5625,1212229.475625,United Kingdom,GreenCrowd and CamNexus,"Department of Science and Innovation (DSI), South African National Energy Development Institute (SANEDI)",,D. Completed,Energy Secretariat Part 2 (UK PACT): Supported the set up and design of the Energy Secretariat (embedded in SANEDI). This skill-share will provide organisational design and MEL support to the counterpart organisations in relation to the roles and responsibilities of the Secretariat. [section after this deleted],2023-09-01T00:00:00,2023-11-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-179,UK042,JT-Mpumalanga Research: Coal Power Health Impacts Study,JT-Mpumalanga,Studies/research,Estimating the health impacts from coal-fired power stations in South Africa,,Grants,,,GBP,32010,40012.5,708221.25,United Kingdom,South African Medical Research Council,,South African Medical Research Council,D. Completed,Documented the literature on the health impacts of coal-fired power stations globally and specifically for South Africa - published in a peer reviewed journal. Separately peer reviews research report showing mortality in the districts with coal fired power plants was 6% higher than the districts without plants. There was also higher morbidity and cleft palate defects,2023-09-01T00:00:00,2025-03-01T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-180,UK043,JT-Mpumalanga Technical Assistance: SME Investment Pipeline Support,JT-Mpumalanga,Technical Assistance,Early-stage pipeline scoping in Mpumalanga for JETP SME investment,,Grants,,,GBP,1700000,2142000,37913400,United Kingdom,BCG,,SME's in Mpumalanga,C. Implementation Phase,"Supporting SMEs in Mpumalanga and elsewhere to get investment. Covers both SMEs in Mpumalanga to support economic diversification and job creation there but also climate SMEs outside Mpumalanga. The project has worked with over 100 SMEs and 40 fund managers. The project is also supporting the JET PMU Funding Platform with approaches and structures and looking at how to build a sustainable, value for money support structure for SMEs, reducing donor overlap and harnessing CSR and corporate funds.",2023-07-01T00:00:00,2025-04-11T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-181,UK044,JT-Mpumalanga Technical Assistance: Agribusiness Investment Support,JT-Mpumalanga,Technical Assistance,Agribusiness investment support for JETP in Mpumalanga,,Grants,,,GBP,955728,1204217.28,21314645.856,United Kingdom,Technoserve,,Agribusiness in Mpumalanga,C. Implementation Phase,"Agribusiness investment falls under the UK commitment to JETP (economic diversification/'just' agenda): This project looked at where in agriculture the best opportunities in Mpumalanga were for long term sustainable jobs to be created in the next 3-5 years (concluding - sub commercial fruit and nut farms), the barriers to farm expansion including access to capital and know how (Technical assistance). It scoped out potential agri investment funds and identified the reasons they were not investing in fruit and nut farm expansion in Mpumalanga (high climate risks, long paybacks, farms without title deeds) and the scope for blended finance models. It is now providing support to 8 high potential farms on business plans and reducing climate risks e.g. crop insurance options. These have high potential employment (including for women). The project is connecting them to agri-lenders and impact investors. Programme will also provide support to 2 specialist agri-lenders to move them into Mpumalanga and/or expansion finance.",2023-08-01T00:00:00,2026-03-31T00:00:00
